minari 2020,lee isaac chung,drama
whiplash 2014,damien chazelle,"drama, music"
barry lyndon 1975,stanley kubrick,"adventure, drama, history, war"
the farewell 2019,lulu wang,"drama, comedy"
elle 2016,paul verhoeven,"drama, thriller, comedy"
the tale of the princess kaguya 2014,isao takahata,"drama, fantasy, animation"
uncertain 2017,"anna sandilands, ewan mcnicol","drama, comedy, documentary"
captain blood 1935,michael curtiz,"action, adventure"
"two days, one night 2014","jean-pierre dardenne, luc dardenne",drama
great freedom 2022,sebastian meise,drama
eighth grade 2018,bo burnham,"drama, comedy"
a star is born 1954,george cukor,"drama, romance, musical"
no end in sight 2007,charles ferguson,"war, documentary"
it's a wonderful life 1947,frank capra,"drama, fantasy, family"
the madness of king george 1994,nicholas hytner,"biography, drama, history, comedy"
phoenix 2015,christian petzold,"drama, history"
goodbye solo 2009,ramin bahrani,drama
gunda 2020,victor kossakovsky,documentary
western 2015,"bill ross iv, turner ross","western, documentary"
the power of the dog 2021,jane campion,drama
stop making sense 1984,jonathan demme,"music, documentary"
deep red 1976,dario argento,"mystery, thriller, horror"
downhill racer 1969,michael ritchie,"drama, sport"
alien 1979,ridley scott,"sci-fi, thriller, horror"
columbus 2017,kogonada,"drama, comedy, romance"
night of the living dead 1968,george a. romero,horror
the artist 2011,michel hazanavicius,romance
yankee doodle dandy 1942,michael curtiz,"biography, drama, musical"
raging bull 1980,martin scorsese,"biography, drama, sport"
eternal sunshine of the spotless mind 2004,michel gondry,"drama, romance"
the piano 1993,jane campion,"drama, romance"
of mice and men 1940,lewis milestone,drama
dead souls 2018,bing wang,documentary
zama 2018,lucrecia martel,drama
dick johnson is dead 2020,kirsten johnson,"drama, documentary"
high noon 1952,fred zinnemann,"action, drama, thriller, western"
rebel without a cause 1955,nicholas ray,drama
letters from iwo jima 2006,clint eastwood,"drama, history, war"
the seventh continent (1989),michael haneke,drama
a woman under the influence 1974,john cassavetes,"drama, romance"
ghost world 2001,terry zwigoff,"drama, comedy"
foreign correspondent 1940,alfred hitchcock,"mystery, thriller, romance, war"
show boat 1936,james whale,"drama, comedy, romance, musical"
the arbor 2011,clio barnard,"biography, documentary"
long day's journey into night 2019,gan bi,"drama, mystery"
richard iii 1956,laurence olivier,"biography, drama, history, war"
democrats 2015,camilla nielsson,documentary
the lion king 1994,"rob minkoff, roger allers","adventure, drama, animation, family, musical"
4 little girls 1997,spike lee,"history, documentary"
wild strawberries 1959,ingmar bergman,"drama, romance"
crime + punishment 2018,stephen t. maing,documentary
the seventh seal 1958,ingmar bergman,"drama, fantasy"
how green was my valley 1941,john ford,"drama, family"
azor 2021,andreas fontana,drama
y tu mamá también 2002,alfonso cuarón,"drama, comedy"
paddington 2 2018,paul king,"adventure, fantasy, comedy, animation, family"
the little mermaid 1989,"john musker, ron clements","fantasy, romance, animation, family, musical"
city hall 2020,frederick wiseman,documentary
capote 2005,bennett miller,"biography, drama, crime"
the death of stalin 2018,armando iannucci,"biography, drama, history, comedy"
miracle on 34th street 1947,george seaton,"drama, comedy, family"
strangers on a train 1951,alfred hitchcock,"thriller, crime, film-noir"
tulpan 2009,sergei dvortsevoy,"drama, comedy"
manuscripts don't burn 2014,mohammad rasoulof,drama
in transit 2017,"albert maysles, benjamin wu, david usui, lynn true, nelson walker iii","documentary, news"
"three billboards outside ebbing, missouri 2017",martin mcdonagh,"drama, comedy, crime"
quest 2017,jonathan olshefski,"music, family, documentary"
au revoir les enfants 1988,louis malle,"drama, war"
a film unfinished 2010,yael hersonski,"drama, history, documentary"
things to come 2016,mia hansen-løve,drama
the grand budapest hotel 2014,wes anderson,"drama, comedy"
winter sleep 2014,nuri bilge ceylan,drama
a star is born 2018,bradley cooper,"drama, romance, music, musical"
citizenfour 2014,laura poitras,documentary
time out 2002,laurent cantet,drama
the blue angel (re-release) 2001,josef von sternberg,"drama, musical"
thelma & louise 1991,ridley scott,"drama, thriller, crime"
away from her 2007,sarah polley,"drama, romance"
the fallen idol (re-release) 2006,carol reed,"drama, mystery, thriller"
the father 2021,florian zeller,drama
fat city 1972,john huston,"drama, sport"
foxtrot 2017,samuel maoz,drama
howards end 1992,james ivory,"drama, romance"
the innocents 1961,jack clayton,horror
inside job 2010,charles ferguson,documentary
sweet country 2018,warwick thornton,"adventure, drama, history, thriller, crime, western"
leave no trace 2018,debra granik,drama
three colors: white 1994,krzysztof kieslowski,"drama, comedy, romance"
chicken run 2000,"nick park, peter lord","comedy, animation, family"
the king's speech 2010,tom hooper,"drama, history"
parallel mothers 2021,pedro almodóvar,drama
hell or high water 2016,david mackenzie,"drama, crime"
up 2009,"bob peterson, pete docter","adventure, drama, comedy, animation, family"
shirkers 2018,sandi tan,documentary
mildred pierce 1945,michael curtiz,"drama, mystery, romance, crime, film-noir"
45365 2010,"bill ross iv, turner ross",documentary
tootsie 1982,sydney pollack,"drama, comedy, romance"
marooned in iraq 2003,bahman ghobadi,drama
to kill a mockingbird 1962,robert mulligan,"drama, crime"
descendant 2022,margaret brown,"history, documentary"
aquarius 2016,kleber mendonça filho,drama
"so long, my son",xiaoshuai wang,drama
apollo 11 2019,todd douglas miller,"history, documentary"
anomalisa 2015,"charlie kaufman, duke johnson","drama, fantasy, comedy, romance, animation"
toy story 2 1999,"ash brannon, john lasseter, lee unkrich","adventure, fantasy, comedy, animation, family"
black panther 2018,ryan coogler,"action, adventure, sci-fi, drama"
the human voice 2021,pedro almodóvar,"drama, short"
brooklyn 2015,john crowley,"drama, comedy, romance"
nobody knows 2005,hirokazu koreeda,drama
life is sweet 1991,mike leigh,"drama, comedy"
faces 1968,john cassavetes,drama
mary poppins 1964,robert stevenson,"fantasy, comedy, family, musical"
the lord of the rings: the two towers 2002,peter jackson,"action, adventure, fantasy"
l'enfant (the child) 2006,"jean-pierre dardenne, luc dardenne","drama, romance, crime"
jane fonda in five acts 2018,susan lacy,documentary
the conversation 1974,francis ford coppola,"drama, mystery, thriller"
